Source,Target,Type,weight,place
Natalia-Constantin,Harren-Hoare,Undirected,4,2
Natalia-Constantin,Nan,Undirected,3,2
Natalia-Constantin,Rhaenys-Targaryen,Undirected,4,2
Natalia-Constantin,Traian-Lascu,Undirected,3,2
Natalia-Constantin,Visenya-Targaryen,Undirected,3,2
Natalia-Ion,Isabela-Lupu,Undirected,3,2
Isabela-Lupu,Daeron-II-Targaryen,Undirected,3,2
Isabela-Lupu,Astrid-Dragan,Undirected,9,2
Isabela-Lupu,Corina-Filip,Undirected,11,2
Isabela-Lupu,Maekar-I-Targaryen,Undirected,3,2
Isabela-Lupu,Samuel-Tudose,Undirected,5,2
Aenys-Frey,Bogdan-Stefan,Undirected,6,2
Sebastian-Antonescu,Mihai-Constantin,Undirected,5,2
Sebastian-Antonescu,Stefan-Leonte,Undirected,4,2
Sebastian-Antonescu,Alexandru-Ene,Undirected,4,2
Sebastian-Antonescu,Robert-Antonescu,Undirected,6,2
Sebastian-Antonescu,Traian-Lascu,Undirected,3,2
Liviu-Cojocaru,Belwas,Undirected,3,2
Liviu-Cojocaru,Veronica-Matei,Undirected,10,2
Liviu-Cojocaru,Jhogo,Undirected,12,2
Liviu-Cojocaru,Jorah-Mormont,Undirected,4,2
Liviu-Cojocaru,Rakharo,Undirected,4,2
Alayaya,Dancy,Undirected,3,2
Alayaya,Traian-Lascu,Undirected,3,2
Alebelly,Marius-Cojocaru,Undirected,7,2
Alebelly,Hayhead,Undirected,3,2
Alebelly,Jojen-Reed,Undirected,6,2
Alebelly,Mikken,Undirected,3,2
Alester-Florent,Cortnay-Penrose,Undirected,4,2
Alester-Florent,Thomas-Marcel,Undirected,3,2
Alester-Florent,Horia-Avram,Undirected,3,2
Alester-Florent,Stan-Serv,Undirected,5,2
Allar-Deem,Janos-Slynt,Undirected,3,2
Allar-Deem,Traian-Lascu,Undirected,4,2
Allard-Seaworth,Thomas-Marcel,Undirected,5,2
Allard-Seaworth,Marya-Seaworth,Undirected,5,2
Allard-Seaworth,Stan-Serv,Undirected,3,2
Alliser-Thorne,Astrid-Dragan,Undirected,3,2
Alliser-Thorne,Marcian-Manole,Undirected,4,2
Alliser-Thorne,Corina-Filip,Undirected,3,2
Alliser-Thorne,Traian-Lascu,Undirected,8,2
Amabel,Bogdan-Stefan,Undirected,6,2
Amabel,Harra,Undirected,4,2
Amory-Lorch,Bogdan-Stefan,Undirected,9,2
Amory-Lorch,Nicoleta-Albert,Undirected,4,2
Amory-Lorch,Chiswyck,Undirected,4,2
Amory-Lorch,Dunsen,Undirected,3,2
Amory-Lorch,Gendry,Undirected,3,2
Amory-Lorch,Maria-Marcu,Undirected,7,2
Amory-Lorch,Hot-Pie,Undirected,3,2
Amory-Lorch,Ilyn-Payne,Undirected,4,2
Amory-Lorch,Marcian-Manole,Undirected,7,2
Amory-Lorch,Meryn-Trant,Undirected,5,2
Amory-Lorch,Polliver,Undirected,3,2
Amory-Lorch,Rafford,Undirected,5,2
Amory-Lorch,Roose-Bolton,Undirected,3,2
Amory-Lorch,Sebastian Clara,Undirected,5,2
Amory-Lorch,Tickler,Undirected,5,2
Amory-Lorch,Timon-Lascu,Undirected,4,2
Amory-Lorch,Vargo-Hoat,Undirected,7,2
Amory-Lorch,Yoren,Undirected,5,2
Ardrian-Celtigar,Monford-Velaryon,Undirected,5,2
Aron-Santagar,Sebastian Clara,Undirected,3,2
Arwyn-Oakheart,Randyll-Tarly,Undirected,3,2
Bogdan-Stefan,Marta-Vasile,Undirected,5,2
Bogdan-Stefan,Biter,Undirected,10,2
Bogdan-Stefan,Marius-Cojocaru,Undirected,10,2
Bogdan-Stefan,Nicoleta-Albert,Undirected,7,2
Bogdan-Stefan,Chiswyck,Undirected,8,2
Bogdan-Stefan,Dobber,Undirected,4,2
Bogdan-Stefan,Dunsen,Undirected,3,2
Bogdan-Stefan,Mihai-Constantin,Undirected,6,2
Bogdan-Stefan,Gendry,Undirected,36,2
Bogdan-Stefan,Maria-Marcu,Undirected,4,2
Bogdan-Stefan,Harra,Undirected,3,2
Bogdan-Stefan,Harren-Hoare,Undirected,7,2
Bogdan-Stefan,Hot-Pie,Undirected,51,2
Bogdan-Stefan,Stefan-Leonte,Undirected,3,2
Bogdan-Stefan,Jaqen-Hghar,Undirected,25,2
Bogdan-Stefan,Marcian-Manole,Undirected,4,2
Bogdan-Stefan,Corina-Filip,Undirected,13,2
Bogdan-Stefan,Koss,Undirected,3,2
Bogdan-Stefan,Lommy-Greenhands,Undirected,31,2
Bogdan-Stefan,Nan,Undirected,5,2
Bogdan-Stefan,Polliver,Undirected,3,2
Bogdan-Stefan,Praed,Undirected,3,2
Bogdan-Stefan,Rafford,Undirected,5,2
Bogdan-Stefan,Mihnea-Dinu,Undirected,5,2
Bogdan-Stefan,Luiza-Dinu,Undirected,15,2
Bogdan-Stefan,Robert-Antonescu,Undirected,4,2
Bogdan-Stefan,Roose-Bolton,Undirected,13,2
Bogdan-Stefan,Rorge,Undirected,13,2
Bogdan-Stefan,Sorina-Sicoe,Undirected,20,2
Bogdan-Stefan,Syrio-Forel,Undirected,5,2
Bogdan-Stefan,Traian-Lascu,Undirected,4,2
Bogdan-Stefan,Timon-Lascu,Undirected,13,2
Bogdan-Stefan,Vargo-Hoat,Undirected,6,2
Bogdan-Stefan,Weasel,Undirected,10,2
Bogdan-Stefan,Weese,Undirected,15,2
Bogdan-Stefan,Woth,Undirected,3,2
Bogdan-Stefan,Yoren,Undirected,28,2
Emilian-Albu,Marcian-Manole,Undirected,6,2
Emilian-Albu,Mariana-Ivan,Undirected,4,2
Emilian-Albu,Sorina-Sicoe,Undirected,3,2
Asha-Greyjoy,Elena-Dumitru,Undirected,3,2
Asha-Greyjoy,Dagmer,Undirected,5,2
Asha-Greyjoy,Ila-Vera,Undirected,35,2
